날짜,종가
2015-09-01,"1,179.05"
2015-09-02,"1,183.08"
2015-09-03,"1,190.04"
2015-09-04,"1,200.33"
2015-09-07,"1,202.40"
2015-09-08,"1,193.96"
2015-09-09,"1,190.51"
2015-09-10,"1,181.93"
2015-09-11,"1,181.69"
2015-09-14,"1,181.83"
2015-09-15,"1,178.13"
2015-09-16,"1,169.22"
2015-09-17,"1,165.89"
2015-09-18,"1,172.04"
2015-09-21,"1,177.45"
2015-09-22,"1,184.56"
2015-09-23,"1,193.94"
2015-09-24,"1,190.14"
2015-09-25,"1,192.07"
2015-09-28,"1,195.04"
2015-09-29,"1,195.02"
2015-09-30,"1,184.44"
2015-10-01,"1,177.71"
2015-10-02,"1,172.10"
2015-10-05,"1,160.01"
2015-10-06,"1,160.58"
2015-10-07,"1,157.81"
2015-10-08,"1,151.98"
2015-10-09,"1,147.05"
2015-10-12,"1,143.16"
2015-10-13,"1,149.29"
2015-10-14,"1,136.01"
2015-10-15,"1,122.04"
2015-10-16,"1,130.44"
2015-10-19,"1,131.06"
2015-10-20,"1,130.49"
2015-10-21,"1,139.07"
2015-10-22,"1,129.36"
2015-10-23,"1,135.01"
2015-10-26,"1,128.63"
2015-10-27,"1,135.14"
2015-10-28,"1,145.03"
2015-10-29,"1,141.19"
2015-10-30,"1,140.16"
2015-11-02,"1,137.38"
2015-11-03,"1,128.91"
2015-11-04,"1,134.25"
2015-11-05,"1,136.91"
2015-11-06,"1,151.78"
2015-11-09,"1,157.79"
2015-11-10,"1,157.93"
2015-11-11,"1,154.23"
2015-11-12,"1,158.28"
2015-11-13,"1,169.73"
2015-11-16,"1,168.64"
2015-11-17,"1,168.77"
2015-11-18,"1,165.45"
2015-11-19,"1,154.66"
2015-11-20,"1,153.62"
2015-11-23,"1,157.86"
2015-11-24,"1,145.72"
2015-11-25,"1,143.21"
2015-11-26,"1,147.88"
2015-11-27,"1,155.83"
2015-11-30,"1,159.61"
2015-12-01,"1,154.69"
2015-12-02,"1,162.01"
2015-12-03,"1,153.02"
2015-12-04,"1,162.64"
2015-12-07,"1,175.35"
2015-12-08,"1,179.49"
2015-12-09,"1,180.96"
2015-12-10,"1,178.06"
2015-12-11,"1,186.58"
2015-12-14,"1,183.32"
2015-12-15,"1,173.69"
2015-12-16,"1,171.22"
2015-12-17,"1,184.04"
2015-12-18,"1,181.43"
2015-12-21,"1,173.46"
2015-12-22,"1,170.72"
2015-12-23,"1,173.02"
2015-12-24,"1,169.03"
2015-12-25,"1,169.95"
2015-12-28,"1,167.85"
2015-12-29,"1,170.56"
2015-12-30,"1,176.51"
2015-12-31,"1,174.95"
2016-01-01,"1,174.45"
2016-01-04,"1,189.35"
2016-01-05,"1,189.81"
