일자,전체
2015-09-01,1520.29
2015-09-02,1519.15
2015-09-03,1518.04
2015-09-04,1517.06
2015-09-05,1516.11
2015-09-06,1515.75
2015-09-07,1515.28
2015-09-08,1515.27
2015-09-09,1514.76
2015-09-10,1514.26
2015-09-11,1513.75
2015-09-12,1513.27
2015-09-13,1513.1
2015-09-14,1512.85
2015-09-15,1512.54
2015-09-16,1511.89
2015-09-17,1511.22
2015-09-18,1510.21
2015-09-19,1509.6
2015-09-20,1509.17
2015-09-21,1508.82
2015-09-22,1508.07
2015-09-23,1507.12
2015-09-24,1506.39
2015-09-25,1505.75
2015-09-26,1505.21
2015-09-27,1505.04
2015-09-28,1504.96
2015-09-29,1505.03
2015-09-30,1504.76
2015-10-01,1503.91
2015-10-02,1503.71
2015-10-03,1503.08
2015-10-04,1502.84
2015-10-05,1502.49
2015-10-06,1502.15
2015-10-09,1501.19
2015-10-10,1501.22
2015-10-11,1501.25
2015-10-12,1501.37
2015-10-13,1501.4
2015-10-14,1501.27
2015-10-15,1501.02
2015-10-16,1500.68
2015-10-17,1500.22
2015-10-18,1500.13
2015-10-19,1500.06
2015-10-20,1499.36
2015-10-21,1498.61
2015-10-22,1497.57
2015-10-23,1496.3
2015-10-24,1495.18
2015-10-25,1494.74
2015-10-26,1494.14
2015-10-27,1492.85
2015-10-28,1491.5
2015-10-29,1490.09
2015-10-30,1489.15
2015-10-31,1488.27
2015-11-01,1487.32
2015-11-02,1486.62
2015-11-03,1485.8
2015-11-04,1484.88
2015-11-05,1483.82
2015-11-06,1482.93
2015-11-07,1481.57
2015-11-08,1481.3
2015-11-09,1480.63
2015-11-10,1479.73
2015-11-11,1478.81
2015-11-12,1477.75
2015-11-13,1476.76
2015-11-14,1475.88
2015-11-15,1475.32
2015-11-16,1474.51
2015-11-17,1473.35
2015-11-18,1472.28
2015-11-19,1470.98
2015-11-21,1467.88
2015-11-22,1467.21
2015-11-23,1466.33
2015-11-24,1464.51
2015-11-25,1462.86
2015-11-26,1503
2015-11-26,1461.49
2015-11-27,1460.49
2015-11-28,1459.49
2015-11-29,1458.99
2015-11-30,1458.46
2015-12-01,1456.21
2015-12-02,1455.41
2015-12-03,1454.21
2015-12-04,1453.02
2015-12-05,1451.82
2015-12-06,1451.08
2015-12-07,1450.18
2015-12-08,1448.33
2015-12-09,1446.49
2015-12-10,1444.38
2015-12-13,1438.91
2015-12-14,1437.21
2015-12-15,1434.88
2015-12-15,1434.88
2015-12-16,1432.55
2015-12-16,1432.55
2015-12-17,1430.53
2015-12-18,1428.59
2015-12-19,1426.59
2015-12-20,1425.65
2015-12-21,1423.95
2015-12-22,1421.65
2015-12-23,1419.48
2015-12-24,1417.55
2015-12-25,1415.77
2015-12-26,1414.95
2015-12-27,1414.27
2015-12-28,1413.21
2015-12-29,1411.53
2015-12-30,1410.19
2015-12-31,1409.35
2016-01-01,1407.15
2016-01-02,1405.98
2016-01-03,1405.33
2016-01-04,1403.84
2016-01-05,1402.25
2016-01-06,1400.78
2016-01-07,1399.15
2016-01-08,1397.36
2016-01-09,1395.62
2016-01-10,1394.79
2016-01-11,1393.53
2016-01-12,1391.91
2016-01-13,1390.32
2016-01-14,1388.78
2016-01-15,1387.16
2016-01-16,1384.83
2016-01-17,1383.82
2016-01-18,1382.41
2016-01-19,1379.99
2016-01-20,1378.33
2016-01-21,1376.56
2016-01-22,1374.76
2016-01-23,1373.35
2016-01-24,1372.69
2016-01-25,1371.97
2016-01-26,1370.04
2016-01-27,1368.42
2016-01-28,1366.94
2016-01-29,1365.79
2016-01-30,1364.86
2016-01-31,1364.37
2016-02-01,1363.04
2016-02-02,1362.19
2016-02-03,1361.18
2016-02-04,1360.25
2016-02-05,1359.75
2016-02-06,1359.05
2016-02-07,1358.65
2016-02-08,1358.5
2016-02-09,1358.41
2016-02-10,1358.06
2016-02-11,1356.99
2016-02-12,1355.48
2016-02-13,1354.01
2016-02-14,1353.17
2016-02-15,1352.28
2016-02-16,1350.34
2016-02-17,1348.76
2016-02-18,1347.55
2016-02-19,1346.59
2016-02-20,1345.74
2016-02-21,1345.43
2016-02-22,1344.98
2016-02-23,1344.25
2016-02-24,1343.66
2016-02-25,1343.08
2016-02-26,1342.29
2016-02-27,1341.76
2016-02-28,1341.4
2016-02-29,1341.37
2016-03-01,1340.74
2016-03-02,1340.27
2016-03-03,1340.13
2016-03-04,1339.83
2016-03-05,1339.72
2016-03-06,1339.69
2016-03-07,1339.72
2016-03-08,1340.13
2016-03-09,1341.06
2016-03-10,1341.53
2016-03-11,1342.6
2016-03-12,1343.85
2016-03-13,1344.49
2016-03-14,1345.83
2016-03-15,1348.46
2016-03-16,1350.27
2016-03-17,1351.52
2016-03-18,1352.76
2016-03-19,1354.35
2016-03-20,1355.09
2016-03-21,1356.32
2016-03-22,1357.61
2016-03-23,1358.65
2016-03-24,1359.53
2016-03-25,1360.12
2016-03-26,1360.72
2016-03-27,1361.01
2016-03-28,1361.44
2016-03-29,1361.96
2016-03-30,1362.26
2016-03-31,1362.41
2016-04-01,1362.75
2016-04-02,1362.9
2016-04-03,1362.81
2016-04-04,1362.84
2016-04-05,1362.58
2016-04-06,1362.4
2016-04-07,1362.24
